"Creator";"From_Name";"From_ID";"From_Revision";"From_Number";"To_Name";"To_ID";"To_Revision";"From_Number";"Created_On";"Type";"From_Version";"To_Version"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00191-01-V-001";"01";"CMC-00191";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"ToniTest";"CMC-00191-01-V-001";"01";"CMC-00191";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"MariannaTest";"CMC-00193-01-V-001";"01";"CMC-00193";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"MariannaTest";"CMC-00193-01-V-001";"01";"CMC-00193";"CLI_TPM_WW_ALL_ARC_400";"PMC-00006-01-V-001";"01";"PMC-00006";"";"";"1";"1"
"Dokumentablage, Company, think project!";"TestCreation";"CMC-00196-01-V-001";"01";"CMC-00196";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestCreation";"CMC-00196-01-V-001";"01";"CMC-00196";"CLI_TPM_BU_ALL_STR_400";"PMC-00010-02-V-003";"02";"PMC-00010";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestCreation";"CMC-00196-01-V-001";"01";"CMC-00196";"VIEWPOINT DEVELOPMENT 1";"VPC-00105-00-V-001";"00";"VPC-00105";"";"";"1";"1"
"Dokumentablage, Company, think project!";"TestCreation2";"CMC-00197-01-V-001";"01";"CMC-00197";"CLI_TPM_AT_ALL_ARC_400";"PMC-00004-01-V-003";"01";"PMC-00004";"";"";"1";"3"
"Dokumentablage, Company, think project!";"TestCreation2";"CMC-00197-01-V-001";"01";"CMC-00197";"CLI_TPM_BU_ALL_ARC_200";"PMC-00007-01-V-004";"01";"PMC-00007";"";"";"1";"4"
"Dokumentablage, Company, think project!";"CLI_COORDINATION_STR_MEP_01";"CMC-00198-01-";"01";"CMC-00198";"VIEWPOINT FOR PRESENTATION 2";"VPC-00104-00-";"00";"VPC-00104";"";"";"";""
